City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Ambilobe,MG,72.45,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
33,Praia,CV,68.0,few clouds,14.9215,-23.5087,LT Aparthotel
34,Bongandanga,CD,69.33,light rain,1.5,21.05,
41,Along,IN,70.84,broken clouds,28.1667,94.7667,Hotel West
43,Bambous Virieux,MU,73.99,light rain,-20.3428,57.7575,Casa Tia Villa
53,Imbituba,BR,68.0,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
55,Ilhabela,BR,68.9,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
62,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Souillac,MU,73.4,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Sao Filipe,CV,71.85,scattered clouds,14.8961,-24.4956,Tortuga B&B
71,Shingu,JP,73.4,scattered clouds,33.7333,135.9833,Shingu UI Hotel
85,Airai,TL,74.57,scattered clouds,-8.9266,125.4092,Juvinal Martin
88,Samana,DO,75.45,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
91,Mahebourg,MU,73.4,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Praya,CV,68.0,few clouds,14.9215,-23.5087,LT Aparthotel
105,Saint-Philippe,RE,75.2,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
108,Upata,VE,73.89,overcast clouds,8.0086,-62.3989,Posada Villa Nela
122,Saint George,US,73.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
124,Arraial Do Cabo,BR,72.95,clear sky,-22.9661,-42.0278,Pousada Porto Praia
125,Cidreira,BR,69.33,clear sky,-30.1811,-50.2056,Hotel Castelo
131,Quatre Cocos,MU,73.99,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
135,Coahuayana,MX,72.25,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
139,Sao Joao Da Barra,BR,69.33,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
140,Morondava,MG,75.06,clear sky,-20.2833,44.2833,La Case Bambou
159,Vao,NC,74.64,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
170,Ambovombe,MG,68.23,clear sky,-25.1667,46.0833,RELAHARA
182,Clarence Town,AU,68.0,clear sky,-32.5833,151.7833,River Downs Cottage
183,Blackwater,AU,68.95,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
190,Totness,SR,76.91,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
201,Oriximina,BR,75.38,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
203,Ngunguru,NZ,71.01,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
211,Hirara,JP,77.0,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
212,Vung Tau,VN,77.94,overcast clouds,10.345999999999998,107.0843,Green hotel
217,Atar,MR,75.96,clear sky,20.5169,-13.0499,Oumou Elghoura
219,Gerash,IR,69.8,clear sky,27.6652,54.1371,Sa'adat House
223,Coari,BR,74.26,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
225,Poli,TZ,69.8,broken clouds,-3.3333,36.8,Urafiki House
229,Bumba,CD,70.41,moderate rain,2.1833,22.4667,Hôtel Cape Town
230,Beloha,MG,68.54,clear sky,-25.1667,45.05,
233,Vila Velha,BR,73.4,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
236,Yulara,AU,71.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
238,Kafanchan,NG,74.59,overcast clouds,9.5833,8.3,Metro Guest Inn
239,Riberalta,BO,77.95,overcast clouds,-10.9833,-66.1,Hotel Colonial
247,Mercedes,AR,68.0,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
262,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
266,Ahipara,NZ,68.4,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
268,Urucara,BR,74.71,overcast clouds,-2.5364,-57.76,Hotel japa
270,Salinopolis,BR,77.88,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
271,Nishihara,JP,71.6,light rain,26.1842,127.7558,Minshuku Agaihama
272,Lengshuijiang,CN,67.33,light rain,27.6881,111.4294,Sheraton
280,Jacareacanga,BR,71.94,few clouds,-6.2222,-57.7528,Casa do Ian😎
282,Carauari,BR,73.58,overcast clouds,-4.8828,-66.8958,Hotel Fellip
288,Ambanja,MG,75.02,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
296,Gamboma,CG,73.54,overcast clouds,-1.8764,15.8644,Residence N'Keni
308,Manzanillo,CU,77.63,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
310,San Patricio,US,71.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
312,Naze,JP,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
