,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kemijarvi,66.7131,27.4306,30.11,97,100,10.63,FI,snow,2021-04-23 02:05:18
1,Ushuaia,-54.8,-68.3,41.0,93,75,11.5,AR,broken clouds,2021-04-23 02:04:34
2,Cernay,47.8097,7.177,43.0,65,0,5.75,FR,clear sky,2021-04-23 02:05:18
3,Poum,-20.2333,164.0167,79.0,77,100,5.91,NC,overcast clouds,2021-04-23 02:05:18
4,New Norfolk,-42.7826,147.0587,57.0,67,100,5.01,AU,overcast clouds,2021-04-23 02:05:19
5,Altay,47.8667,88.1167,31.59,47,70,2.93,CN,broken clouds,2021-04-23 02:05:19
6,Tasiilaq,65.6145,-37.6368,28.4,54,75,13.8,GL,broken clouds,2021-04-23 02:05:20
7,Jezerski,44.9808,16.0842,50.0,40,100,2.89,BA,overcast clouds,2021-04-23 02:05:20
8,Norman Wells,65.282,-126.8329,28.4,59,75,10.36,CA,broken clouds,2021-04-23 02:05:20
9,Hithadhoo,-0.6,73.0833,82.85,71,80,6.29,MV,broken clouds,2021-04-23 02:05:20
10,Jatiroto,-7.8833,111.1167,80.26,66,28,3.31,ID,scattered clouds,2021-04-23 02:05:21
11,Ambilobe,-13.2,49.05,72.45,88,99,3.53,MG,overcast clouds,2021-04-23 02:05:21
12,Coquimbo,-29.9533,-71.3436,59.0,88,90,3.44,CL,overcast clouds,2021-04-23 02:02:54
13,Kaitangata,-46.2817,169.8464,57.99,72,100,1.99,NZ,overcast clouds,2021-04-23 02:05:22
14,Upernavik,72.7868,-56.1549,16.39,89,100,4.45,GL,overcast clouds,2021-04-23 02:05:22
15,Jumla,29.2747,82.1838,48.29,52,0,3.13,NP,clear sky,2021-04-23 02:05:22
16,Longyearbyen,78.2186,15.6401,15.8,67,75,4.61,SJ,broken clouds,2021-04-23 02:05:22
17,Pushkinskiye Gory,57.0209,28.9103,34.16,84,83,7.92,RU,broken clouds,2021-04-23 02:05:23
18,Mataura,-46.1927,168.8643,61.34,51,100,6.04,NZ,moderate rain,2021-04-23 02:05:23
19,Kapaa,22.0752,-159.319,78.8,65,20,10.36,US,few clouds,2021-04-23 02:05:23
20,Nikolskoye,59.7035,30.7861,43.0,81,75,6.71,RU,moderate rain,2021-04-23 02:05:24
21,Yellowknife,62.456,-114.3525,15.8,57,90,14.97,CA,light snow,2021-04-23 02:05:24
22,Avarua,-21.2078,-159.775,82.4,69,40,18.41,CK,scattered clouds,2021-04-23 02:05:25
23,Dikson,73.5069,80.5464,32.36,92,100,23.58,RU,overcast clouds,2021-04-23 02:05:25
24,Pevek,69.7008,170.3133,23.4,75,19,6.69,RU,few clouds,2021-04-23 02:05:25
25,Mehamn,71.0357,27.8492,32.18,79,97,0.54,NO,overcast clouds,2021-04-23 02:05:25
26,Grindavik,63.8424,-22.4338,44.6,81,90,29.93,IS,overcast clouds,2021-04-23 02:05:26
27,Khatanga,71.9667,102.5,27.43,92,99,15.14,RU,overcast clouds,2021-04-23 02:05:26
28,Aklavik,68.2191,-135.0107,24.8,46,97,1.14,CA,overcast clouds,2021-04-23 02:05:26
29,Fortuna,40.5982,-124.1573,54.0,87,20,13.8,US,few clouds,2021-04-23 02:05:27
30,Rikitea,-23.1203,-134.9692,78.04,77,100,14.36,PF,overcast clouds,2021-04-23 02:05:27
31,Biak,-0.9131,122.8766,83.16,68,90,3.69,ID,overcast clouds,2021-04-23 02:05:27
32,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,light rain,2021-04-23 02:02:14
33,Praia,14.9215,-23.5087,68.0,77,20,16.11,CV,few clouds,2021-04-23 02:05:28
34,Bongandanga,1.5,21.05,69.33,96,89,1.66,CD,light rain,2021-04-23 02:05:28
35,Albany,42.6001,-73.9662,37.99,43,14,1.99,US,few clouds,2021-04-23 02:05:28
36,Busselton,-33.65,115.3333,66.0,69,44,4.0,AU,scattered clouds,2021-04-23 02:05:29
37,Qaanaaq,77.484,-69.3632,17.51,78,100,7.99,GL,overcast clouds,2021-04-23 02:05:29
38,Bac Lieu,9.285,105.7244,81.05,78,100,14.79,VN,light rain,2021-04-23 02:00:51
39,Balakhta,55.38,91.6,32.18,59,1,11.5,RU,clear sky,2021-04-23 02:05:29
40,Lucapa,-8.4192,20.7447,65.12,95,35,2.77,AO,light rain,2021-04-23 02:05:30
41,Along,28.1667,94.7667,70.84,85,71,1.1,IN,broken clouds,2021-04-23 02:05:30
42,Lagoa,39.05,-27.9833,56.28,79,5,39.08,PT,clear sky,2021-04-23 02:05:30
43,Bambous Virieux,-20.3428,57.7575,73.99,94,40,8.05,MU,light rain,2021-04-23 02:05:31
44,Mar Del Plata,-38.0023,-57.5575,66.99,94,0,3.44,AR,clear sky,2021-04-23 02:01:02
45,Luoyang,34.6836,112.4536,65.55,59,87,8.68,CN,overcast clouds,2021-04-23 02:04:24
46,Port Alfred,-33.5906,26.891,66.47,81,0,19.75,ZA,clear sky,2021-04-23 02:05:31
47,Tuktoyaktuk,69.4541,-133.0374,12.2,73,20,4.61,CA,few clouds,2021-04-23 02:05:32
48,Los Llanos De Aridane,28.6585,-17.9182,64.4,77,0,2.3,ES,clear sky,2021-04-23 02:05:32
49,Butaritari,3.0707,172.7902,82.76,73,98,9.24,KI,overcast clouds,2021-04-23 02:05:32
50,Macau,22.2006,113.5461,82.4,78,0,8.05,MO,clear sky,2021-04-23 02:05:32
51,Egvekinot,66.3167,-179.1667,30.16,81,21,1.21,RU,few clouds,2021-04-23 02:05:33
52,Forbes,-33.3833,148.0167,62.8,44,21,8.75,AU,few clouds,2021-04-23 02:05:33
53,Imbituba,-28.24,-48.6703,68.0,83,0,5.75,BR,clear sky,2021-04-23 02:05:33
54,Woodward,36.4337,-99.3904,46.4,87,90,14.97,US,overcast clouds,2021-04-23 02:05:34
55,Ilhabela,-23.7781,-45.3581,68.9,83,44,6.26,BR,scattered clouds,2021-04-23 02:05:34
56,Kodiak,57.79,-152.4072,42.8,93,90,12.66,US,moderate rain,2021-04-23 02:05:34
57,Walvis Bay,-22.9575,14.5053,64.4,72,47,5.75,NA,scattered clouds,2021-04-23 02:05:35
58,Thompson,55.7435,-97.8558,19.4,68,75,12.66,CA,light snow,2021-04-23 02:05:35
59,Shimoda,34.6667,138.95,57.2,58,20,17.27,JP,few clouds,2021-04-23 02:05:35
60,Callaway,30.153,-85.5699,63.0,42,1,5.75,US,clear sky,2021-04-23 02:05:36
61,Maarianhamina,60.0973,19.9348,35.6,93,75,12.66,AX,broken clouds,2021-04-23 02:05:36
62,Puerto Ayora,-0.7393,-90.3518,77.0,93,43,4.0,EC,scattered clouds,2021-04-23 02:05:37
63,Castro,-24.7911,-50.0119,52.52,94,13,3.58,BR,few clouds,2021-04-23 02:05:37
64,Souillac,-20.5167,57.5167,73.4,94,40,8.05,MU,light rain,2021-04-23 02:05:37
65,Sao Filipe,14.8961,-24.4956,71.85,74,37,11.59,CV,scattered clouds,2021-04-23 02:05:37
66,Ribeira Grande,38.5167,-28.7,57.47,75,11,34.69,PT,few clouds,2021-04-23 02:05:38
67,Araouane,18.9048,-3.5265,86.04,12,2,5.3,ML,clear sky,2021-04-23 02:05:38
68,Hami,42.8,93.45,48.22,28,100,7.72,CN,overcast clouds,2021-04-23 02:05:38
69,Bluff,-46.6,168.3333,57.81,66,100,12.93,NZ,light rain,2021-04-23 02:05:39
70,Nouadhibou,20.931,-17.0347,64.4,82,0,17.27,MR,clear sky,2021-04-23 02:05:39
71,Shingu,33.7333,135.9833,73.4,49,40,11.5,JP,scattered clouds,2021-04-23 02:05:39
72,Torbay,47.6666,-52.7314,43.0,100,90,25.32,CA,light rain,2021-04-23 02:03:19
73,Lavrentiya,65.5833,-171.0,33.89,74,100,1.68,RU,overcast clouds,2021-04-23 02:05:40
74,Vaini,-21.2,-175.2,84.2,84,75,5.75,TO,light rain,2021-04-23 02:05:40
75,Juquia,-24.3208,-47.6347,62.83,92,58,1.7,BR,broken clouds,2021-04-23 02:05:40
76,Xudat,41.631,48.681,51.57,87,41,8.57,AZ,scattered clouds,2021-04-23 02:05:41
77,Atuona,-9.8,-139.0333,80.64,80,85,21.09,PF,light rain,2021-04-23 02:05:41
78,Severo-Kurilsk,50.6789,156.125,35.98,92,73,4.18,RU,broken clouds,2021-04-23 02:05:41
79,Escanaba,45.7453,-87.0646,41.0,75,1,5.06,US,clear sky,2021-04-23 02:05:42
80,Csengod,46.7154,19.268,46.99,65,0,6.91,HU,clear sky,2021-04-23 02:05:42
81,Arman,59.7,150.1667,32.11,98,100,4.72,RU,snow,2021-04-23 02:05:42
82,Paamiut,61.994,-49.6678,31.96,82,20,4.54,GL,few clouds,2021-04-23 02:05:43
83,Namibe,-15.1961,12.1522,78.57,83,29,1.83,AO,scattered clouds,2021-04-23 02:05:43
84,Hermanus,-34.4187,19.2345,55.0,91,0,1.01,ZA,clear sky,2021-04-23 02:05:43
85,Airai,-8.9266,125.4092,74.57,49,32,1.99,TL,scattered clouds,2021-04-23 02:05:44
86,Tuatapere,-46.1333,167.6833,57.45,68,100,6.02,NZ,light rain,2021-04-23 02:05:44
87,Komsomolskiy,40.4272,71.7189,48.2,61,1,6.91,UZ,clear sky,2021-04-23 02:05:44
88,Samana,19.2056,-69.3369,75.45,85,61,7.54,DO,broken clouds,2021-04-23 02:05:45
89,Dingle,10.9995,122.6711,89.11,55,100,11.97,PH,moderate rain,2021-04-23 02:05:45
90,Jiuquan,39.7432,98.5174,50.32,24,100,15.26,CN,overcast clouds,2021-04-23 02:05:45
91,Mahebourg,-20.4081,57.7,73.4,94,40,8.05,MU,light rain,2021-04-23 02:05:45
92,Hobart,-42.8794,147.3294,57.2,47,40,10.36,AU,scattered clouds,2021-04-23 02:05:46
93,Praya,14.9215,-23.5087,68.0,77,20,16.11,CV,few clouds,2021-04-23 02:05:28
94,Kahului,20.8947,-156.47,82.4,54,20,20.71,US,few clouds,2021-04-23 02:05:46
95,Vallenar,-28.5708,-70.7581,58.82,79,31,2.37,CL,scattered clouds,2021-04-23 02:05:46
